;TEXT
Tweet47;"Patriotas não votam em ladroes Lula é ladrão
"
Tweet48;"Lindo de mais BRASIL mundo afora Eu recebi um vídeo de manifestantes com BOLSONARO da inglaterra mas não estou encontrando para divulgar Alguém tem e pode me passar Obrigada
"
Tweet49;"Nossa agora vai  
"
Tweet50;"A Mansão do Bolsonaro na Vila Histórica de MAMBUCABACHUPA ESQUERDA ESCROTA
"
Tweet51;"os mesmo q nunca dobram os joelhos em oração sobre o Brasil mas querem sempre tá fazendo textinho na Internet me poupe Não apoio o Bolsonaro e muito menos o outro lado mas sei respeitar às opiniões de cada um e ainda mais de alguém que admiro pra caramba
"
Tweet52;"Virou moda jornalistas mulheres fazem perguntas levianas e irresponsáveis e querem respostas sem tom de indignação Bolsonaro foi eleito justamente porque não perdeu a capacidade de espanto Com ele é assim bateu levou Aguentem
"
Tweet53;"LeoniceMariana1 me segue de volta vamos movimentar a direita em prol da reeleição de Bolsonaro
"
Tweet54;"MITOOOOOOOOO sou mulher voto Bolsonaro SouMulherEVotoBolsonaro
"
Tweet55;"1
"
Tweet56;"VÍDEO Jefferson cobra reação de Bolsonaro contra Moraes ‘Tem que mandar seus fuzileiros’
"
Tweet57;"três pessoas  que tenho nojo ouvir eles falandoSERGIO MOROBOLSONARO CIRO GOMES
"
Tweet58;"E eles dizem que o PT que é contra a democracia Democracia seletiva só tem que existir se for para beneficiar o clã Bolsonaro Chega É Lula no primeiro turno
"
Tweet59;"Bolsonaro entra na Justiça para barrar vídeo do PT que mostra compra de imóveis em dinheiro vivo Por que ninguém da família explica e acaba com o caso
"
Tweet60;"O PP foi o partido q mais roubou na Lava Jato e indicou o Paulo Roberto Costa na diretoria da Petrobras e agora tem presidente da Câmara dos Deputados Ministro Chefe da Casa Civil e líder do governo na Câmara além  do Maluf e Bolsonaro estarem no partido na época
"
Tweet61;"Nenhum partido aderiu ao seu projeto imagine se todo um país vai fazer isso Vc trabalha p o Bolsonaro Sua biografia está indo p o lixo
"
Tweet62;"Aqui bolsonaro  fala algo que Ciro gosta
"
Tweet63;"O cara nao aprendeDefendeu o AecioDefendeu o Golpe de 2016Defendeu o Bolsonaro em 2018Faz o mesmo em 2022Isso se chama Burrice
"
Tweet64;"o povo colocou Jair Bolsonaro presidente do Brasil em termos democráticos o povo tirará
"
Tweet65;"Melhor explicação eu ouvi agora e SEMPRE falei mais como aqui em casa ninguém dá muita atenção pra mim só minha vóVOTAR NO CIRO É VOTAR NO BOLSONARO NO CENÁRIO ATUAL ACORDEEEEEEEEEM
"
Tweet66;"Não pode falar mal do santo Lula néCiro assinou 3 pedidos de impeachment O PDT entrou com representação contra Bolsonaro em Haia pelos crimes na pandemia Atualmente tbm está com recurso para impugnar a campanha do BozoLula não moveu 1 dedo
"
Tweet67;"O maior meliante do Brasil é o indignisso Bolsonaro maior agente funerário do País Fora Bolsonaro e suas armas juntamente com sua miserável família
"
Tweet68;"BOLSONARO CHILIQUENTO
"
Tweet69;"Amanda Klein foi mais uma vítima hoje do presidente chiliquento Basta ser confrontado com uma pergunta incômoda que ele parte para o ataque baixo Recentemente ele já havia feito isso quando foi confrontado sobre as urnasBOLSONARO CHILIQUENTO
"
